R_no,r_worksers,p_workers,test_results,c_r_src,c_r_tar,c_r_all,tr_acc
1,"[16, 6, 17, 5, 7, 14, 10, 9, 15, 0]",[9],80.473,89.895,84.795,80.473,"[71.57, 72.33, 72.5, 71.87, 72.13, 71.73, 71.27, 65.83, 71.17, 72.7]"
2,"[1, 6, 16, 18, 13, 7, 12, 9, 4, 14]",[9],83.15,95.78,84.385,83.15,"[85.2, 84.8, 84.57, 84.3, 85.7, 84.17, 85.17, 77.73, 84.7, 84.27]"
3,"[17, 14, 5, 15, 9, 3, 19, 18, 13, 2]",[5],85.164,93.545,87.31,85.164,"[87.23, 87.87, 79.4, 86.5, 86.43, 87.37, 85.9, 87.17, 87.3, 86.77]"
4,"[3, 9, 8, 14, 15, 18, 6, 1, 12, 13]",[6],86.154,96.425,84.955,86.154,"[87.53, 88.37, 87.03, 88.17, 87.43, 88.43, 82.4, 88.63, 87.53, 89.13]"
5,"[0, 1, 13, 2, 15, 3, 16, 6, 10, 5]",[5],85.7,92.405,87.365,85.7,"[88.47, 89.97, 90.53, 88.6, 88.83, 88.9, 89.23, 88.5, 88.03, 80.17]"
6,"[5, 13, 18, 0, 10, 17, 16, 7, 11, 9]",[17],86.207,92.115,89.415,86.207,"[88.4, 90.4, 89.73, 89.2, 89.43, 82.3, 90.23, 89.9, 88.5, 89.57]"
7,"[7, 2, 10, 13, 17, 16, 12, 11, 14, 1]",[14],87.136,96.41,87.635,87.136,"[90.63, 90.8, 89.27, 92.27, 89.43, 90.57, 90.47, 90.07, 83.43, 90.77]"
8,"[3, 16, 11, 12, 5, 19, 8, 14, 18, 13]",[18],87.17,96.3,86.865,87.17,"[90.27, 90.73, 90.67, 90.17, 90.27, 89.53, 89.93, 90.07, 82.63, 92.07]"
9,"[8, 16, 5, 18, 3, 19, 12, 17, 14, 4]",[17],87.498,95.51,88.025,87.498,"[90.37, 91.13, 91.1, 90.7, 90.97, 89.87, 91.2, 82.5, 91.13, 90.67]"
10,"[11, 18, 10, 17, 2, 3, 5, 4, 9, 1]",[17],87.536,93.945,87.415,87.536,"[91.9, 92.3, 90.07, 84.27, 91.0, 91.23, 91.4, 91.0, 91.6, 91.8]"
11,"[17, 12, 13, 3, 14, 15, 10, 2, 6, 4]",[15],87.444,93.18,88.82,87.444,"[90.5, 91.6, 93.0, 91.67, 91.03, 82.1, 91.23, 91.67, 91.43, 91.13]"
12,"[11, 6, 18, 9, 19, 15, 0, 17, 7, 8]",[17],87.808,92.38,89.845,87.808,"[91.43, 91.6, 92.13, 91.93, 91.03, 90.53, 92.13, 84.33, 91.8, 91.0]"
13,"[10, 15, 16, 11, 7, 6, 17, 13, 0, 5]",[10],87.845,93.21,89.265,87.845,"[82.97, 91.93, 92.2, 92.33, 92.33, 92.03, 91.37, 93.57, 92.43, 92.23]"
14,"[0, 14, 19, 15, 11, 1, 3, 13, 18, 5]",[3],88.13,97.14,89.45,88.13,"[92.8, 91.77, 91.6, 91.63, 92.17, 92.8, 84.07, 92.97, 92.87, 92.83]"
15,"[14, 7, 1, 16, 6, 4, 9, 17, 18, 8]",[17],88.324,96.865,91.13,88.324,"[93.17, 93.07, 93.13, 92.7, 92.73, 92.3, 92.33, 85.3, 92.8, 91.9]"
16,"[0, 1, 7, 3, 12, 10, 5, 14, 15, 9]",[14],88.367,96.665,89.21,88.367,"[93.4, 94.07, 93.53, 92.43, 92.6, 92.13, 92.5, 84.93, 92.3, 92.9]"
17,"[6, 15, 13, 19, 12, 0, 16, 10, 9, 4]",[12],88.217,96.775,88.295,88.217,"[93.3, 92.47, 94.3, 92.0, 84.7, 93.87, 93.5, 93.03, 93.2, 92.6]"
18,"[3, 17, 14, 7, 10, 18, 11, 16, 4, 2]",[17],88.34,92.94,89.45,88.34,"[93.0, 85.5, 93.3, 93.67, 93.3, 93.7, 93.07, 93.43, 92.67, 92.47]"
19,"[6, 3, 2, 1, 9, 7, 0, 15, 4, 18]",[18],88.695,96.22,89.24,88.695,"[93.63, 93.1, 93.07, 93.57, 93.2, 94.37, 93.87, 92.57, 93.17, 85.33]"
20,"[4, 2, 0, 8, 3, 9, 16, 7, 15, 14]",[4],88.946,97.225,90.12,88.946,"[83.9, 93.6, 94.17, 92.27, 93.47, 93.77, 93.93, 94.37, 92.73, 93.37]"
